"EXPOCODE","Cruise_ID","Observation_Type","Sample._ID","Station_ID","Cast_number","Niskin_ID","Year_UTC","Month_UTC","Day_UTC","Time_UTC","YearDay_UTC","Latitude_Dec_Deg","Longitude_Dec_Deg","Depth_Bottom_meters","Depth_meters","CTDPRES_dbar","FlowThrough.Intake_Temperature_deg_C","TSGTEMP_deg_C","CTDTEMP_ITS90","TSGSAL_PSS78","CTDSAL_PSS78","Salinity_PSS78","Salinity_Flag","CTDOXY_mg.L","CTDOXY_umol.kg","DIC_umol.kg","DIC_Flag","TA_umol.kg","TA_Flag","pH_TS_20C","pH_TS_25C","pH_Flag","Silicate_umol.kg","Nitrite_and_Nitrate_umol.kg","Ammonium_umol.kg","Phosphate_umol.kg","Nutrients_Flag","X","Y","X.1","Y.1","bathymetry","resolution","line_id","line_name","alt_station_id"
"33WA20111020","WS1116","Flow-through","540000","54",0,0,2011,10,23,"12:17:10",296.5119,25.3432,-81.1561,-999,1.5,"-999",22.97,23.33,22.98,24.907,25.033,-999,9,-999,-999,3014.6,2,3175.1,2,-999,-999,9,-999,-999,-999,-999,9,-81.1561,25.3432,-81.1561,25.3432,2.24022269248962,945,"SR","Shark River",NA
"33WA20111020","WS1116","Niskin","540101","54",1,1,2011,10,23,"12:17:10",296.5119,25.3432,-81.1561,-999,1.2,"-999",22.97,23.34,22.98,24.915,25.033,-999,9,-999,-999,2987.9,2,3202.4,2,-999,-999,9,-999,-999,-999,-999,9,-81.1561,25.3432,-81.1561,25.3432,2.24022269248962,945,"SR","Shark River",NA
"33WA20111020","WS1116","Niskin","560101","56",1,1,2011,10,23,"13:34:00",296.5653,25.349,-81.2272,-999,1.5,"-999",23.07,23.44,23.06,32.495,32.489,-999,9,-999,-999,2278.7,2,2657.9,2,-999,-999,9,-999,-999,-999,-999,9,-81.2272,25.349,-81.2272,25.349,3.02198529243469,2337,"SR","Shark River",NA
"33WA20111020","WS1116","Niskin","580103","58",1,3,2011,10,23,"17:31:28",296.7302,25.1654,-81.4881,-999,1.8,"-999",25.61,26,25.63,36.381,36.395,-999,9,-999,-999,2008.9,6,2339.4,6,-999,-999,9,-999,-999,-999,-999,9,-81.4881,25.1654,-81.4881,25.1654,8.8177604675293,3690,"MC","Middle Cape",NA
"33WA20111211","WS1118","Niskin","540101","54",1,1,2011,12,14,"12:45:00",348.5313,25.3407,-81.1564,-999,1.3,"-999",22.01,22.97,22.67,29.189,29.103,-999,9,-999,-999,2878.9,6,3091.1,6,-999,-999,9,-999,-999,-999,-999,9,-81.1564,25.3407,-81.1564,25.3407,2.24022269248962,945,"SR","Shark River",NA
"33WA20111211","WS1118","Flow-through","570000","57",0,0,2011,12,14,"14:30:00",348.6042,25.3478,-81.2718,-999,1.5,"-999",21.58,22.57,22.58,33.446,33.439,-999,9,-999,-999,2269.6,2,2528.1,2,-999,-999,9,-999,-999,-999,-999,9,-81.2718,25.3478,-81.2718,25.3478,3.75466084480286,2255,"SR","Shark River",NA
"33WA20111211","WS1118","Niskin","600101","60",1,1,2011,12,14,"22:40:00",348.9444,25.165,-81.3389,-999,1.1,"-999",22,23,22.71,34.12,34.144,-999,9,-999,-999,2277.7,2,2536.8,2,-999,-999,9,-999,-999,-999,-999,9,-81.3389,25.165,-81.3389,25.165,6.1338005065918,3254,"MC","Middle Cape",NA
"33WA20111211","WS1118","Flow-through","640000","64",0,0,2011,12,15,"0:23:00",349.016,25.1669,-81.1574,-999,1.5,"-999",22.24,23.23,23.23,30.513,30.501,-999,9,-999,-999,2877.7,2,3113.7,2,-999,-999,9,-999,-999,-999,-999,9,-81.1574,25.1669,-81.1574,25.1669,2.99322700500488,452,"MC","Middle Cape",NA
"33WA20111211","WS1118","Flow-through","640000","64",0,0,2011,12,15,"0:24:00",349.0167,25.1669,-81.1574,-999,1.5,"-999",22.24,23.23,23.23,30.502,30.501,-999,9,-999,-999,2869.2,2,3168.9,2,-999,-999,9,-999,-999,-999,-999,9,-81.1574,25.1669,-81.1574,25.1669,2.99322700500488,452,"MC","Middle Cape",NA
"33WA20141201","WS1418","Niskin","540101","54",1,1,2014,12,3,"14:46:00",337.6153,25.3451,-81.1521,-999,1.5,"1.5",20.77,21.02,20.6,31.082,31.159,-999,9,-999,222.6,2596.7,2,2853.1,2,7.9169,7.8432,2,31.8,0.4,-999,0,2,-81.1521,25.3451,-81.1521,25.3451,2.5547730922699,795,"SR","Shark River",NA
"33WA20141201","WS1418","Niskin","550101","55",1,1,2014,12,3,"15:47:00",337.6576,25.35,-81.1936,-999,1.5,"1.5",20.65,20.97,20.63,33.619,33.597,-999,9,-999,-999,2320,2,2602,2,7.8939,7.8205,2,26.6,0.2,-999,0,2,-81.1936,25.35,-81.1936,25.35,2.37362217903137,1572,"SR","Shark River",NA
"33WA20141201","WS1418","Niskin","560101","56",1,1,2014,12,3,"16:22:00",337.6819,25.3498,-81.2289,-999,1.5,"1.5",20.99,21.31,20.75,34.253,34.279,-999,9,-999,-999,2252.1,2,2542.1,2,7.847,7.7743,2,24.8,0.09,-999,0,2,-81.2289,25.3498,-81.2289,25.3498,3.02198529243469,2337,"SR","Shark River",NA
"33WA20141201","WS1418","Niskin","570102","57",1,2,2014,12,3,"17:00:00",337.7083,25.3522,-81.2656,-999,1.5,"1.5",21.03,21.34,20.71,35.141,35.111,-999,9,-999,239.9,2166.6,2,2428.9,2,7.7336,7.6631,2,19.3,0.1,-999,0,2,-81.2656,25.3522,-81.2656,25.3522,3.75466084480286,2255,"SR","Shark River",NA
"33WA20141201","WS1418","Niskin","5710103","57.1",1,3,2014,12,3,"17:49:00",337.7424,25.3517,-81.336,-999,1.5,"1.5",20.93,21.24,20.88,35.093,35.068,-999,9,-999,-999,2139.9,2,2389.2,2,8.2698,8.1928,2,6.8,0.1,-999,0,2,-81.336,25.3517,-81.336,25.3517,5.5090446472168,2278,"SR","Shark River",NA
"33WA20141201","WS1418","Niskin","5720103","57.2",1,3,2014,12,3,"19:06:00",337.7958,25.3529,-81.4904,-999,1.5,"1.5",21.17,21.47,20.94,35.306,35.299,-999,9,-999,-999,2090.5,2,2335.2,2,8.4259,8.3478,2,7,0.2,-999,0,2,-81.4904,25.3529,-81.4904,25.3529,8.36661815643311,2945,"SR","Shark River",NA
"33WA20141201","WS1418","Niskin","5730102","57.3",1,2,2014,12,3,"20:21:00",337.8479,25.3519,-81.6531,-999,1.5,"1.5",21.31,21.62,21.22,35.918,35.905,-999,9,-999,-999,2083.8,2,2353.3,2,8.556,8.4767,2,1,0.3,-999,0,2,-81.6531,25.3519,-81.6531,25.3519,11.2790632247925,4575,"SR","Shark River",NA
"33WA20141201","WS1418","Niskin","570201","57",2,1,2014,12,4,"14:26:00",338.6014,25.3506,-81.2634,-999,1.5,"1.5",20.85,21.17,20.84,34.754,34.693,-999,9,-999,234.6,2222.5,2,2461.1,2,8.0664,7.991,2,16.4,0.3,-999,0,2,-81.2634,25.3506,-81.2634,25.3506,3.75466084480286,2255,"SR","Shark River",NA
"33WA20141201","WS1418","Niskin","560201","56",2,1,2014,12,4,"15:05:00",338.6285,25.349,-81.2248,-999,1.5,"1.5",20.88,21.19,20.85,33.952,33.945,-999,9,-999,-999,2296.2,2,2572.1,2,7.8508,7.7781,2,18.1,0.3,-999,0,2,-81.2248,25.349,-81.2248,25.349,2.87843060493469,1993,"SR","Shark River",NA
"33WA20141201","WS1418","Niskin","550201","55",2,1,2014,12,4,"15:25:00",338.6424,25.3488,-81.1974,-999,1.5,"1.5",20.86,21.16,20.81,33.165,33.073,-999,9,-999,-999,2385,2,2656.7,2,7.8537,7.781,2,18.9,0.5,-999,0,2,-81.1974,25.3488,-81.1974,25.3488,2.37362217903137,1572,"SR","Shark River",NA
"33WA20141201","WS1418","Niskin","540201","54",2,1,2014,12,4,"16:07:00",338.6715,25.3425,-81.1535,-999,1.5,"1.5",21.3,21.62,21.25,31.017,31.083,-999,9,-999,224.7,2620.8,2,2834.4,2,7.8991,7.8256,2,21.1,0.4,-999,0,2,-81.1535,25.3425,-81.1535,25.3425,2.46039080619812,811,"SR","Shark River",NA
"33WA20150921","WS15264","Niskin","540101","54",1,1,2015,9,23,"16:20:00",266.6806,25.3451,-81.1518,-999,1.5,"1.5",29.56,29.78,29.58,34.175,34.6,-999,9,-999,-999,2475.1,2,2716.4,2,7.9516,7.8773,2,15.4,0.2,-999,0,2,-81.1518,25.3451,-81.1518,25.3451,2.5547730922699,795,"SR","Shark River",NA
"33WA20150921","WS15264","Niskin","550101","55",1,1,2015,9,23,"17:10:00",266.7153,25.3499,-81.1995,-999,1.5,"1.5",29.48,29.74,29.441,36.318,36.617,-999,9,-999,-999,2033.9,2,2341.4,2,8.1137,8.038,2,7.7,0.05,-999,0,2,-81.1995,25.3499,-81.1995,25.3499,2.37362217903137,1572,"SR","Shark River",NA
"33WA20150921","WS15264","Niskin","560101","56",1,1,2015,9,23,"17:45:00",266.7396,25.3499,-81.2291,-999,1.5,"1.5",29.37,29.62,29.37,37.209,37.22,-999,9,-999,-999,1954.1,2,2254.9,2,8.134,8.0582,2,17.8,0.04,-999,0.01,2,-81.2291,25.3499,-81.2291,25.3499,3.02198529243469,2337,"SR","Shark River",NA
"33WA20150921","WS15264","Niskin","570101","57",1,1,2015,9,23,"18:25:00",266.7674,25.3517,-81.2665,-999,1.5,"1.5",29.47,29.72,29.466,37.52,37.517,-999,9,-999,-999,1954.1,2,2248,2,8.1252,8.0495,2,19.8,0.05,-999,0.01,2,-81.2665,25.3517,-81.2665,25.3517,3.75466084480286,2255,"SR","Shark River",NA
"33WA20150921","WS15264","Niskin","5710101","57.1",1,1,2015,9,23,"19:15:00",266.8021,25.3519,-81.3364,-999,1.5,"1.5",29.57,29.81,29.573,37.409,37.419,-999,9,-999,-999,1914.3,2,2192.9,2,8.0968,8.0214,2,17.9,0.08,-999,0,2,-81.3364,25.3519,-81.3364,25.3519,5.5090446472168,2278,"SR","Shark River",NA
"33WA20150921","WS15264","Niskin","5720101","57.2",1,1,2015,9,23,"20:37:00",266.859,25.3529,-81.4952,-999,1.5,"1.5",29.71,29.97,29.707,35.996,36.007,-999,9,-999,-999,1903.5,2,2148.4,2,8.0662,7.9911,2,8.2,0.3,-999,0.02,2,-81.4952,25.3529,-81.4952,25.3529,8.36661815643311,2945,"SR","Shark River",NA
"33WA20150921","WS15264","Niskin","5730101","57.3",1,1,2015,9,23,"21:54:00",266.9125,25.3512,-81.6543,-999,1.5,"1.5",30.15,30.41,30.135,36.149,36.164,-999,9,-999,-999,1973.3,2,2262.6,2,8.1249,8.0492,2,5.4,0.1,-999,0.08,2,-81.6543,25.3512,-81.6543,25.3512,11.2790632247925,4575,"SR","Shark River",NA
"33H620180308","SAV1803","Niskin","560101","56",1,1,2018,3,10,"20:45:00",69.8646,25.3494,-81.2289,4.1,1,"1",-999,-999,20.8,-999,35.013,-999,9,7.18,224.4,2154.4,2,2424.8,2,8.0132,7.9383,2,12.17,0.28,1.06,0.146,2,-81.2289,25.3494,-81.2289,25.3494,3.02198529243469,2337,"SR","Shark River",NA
"33H620180308","SAV1803","Niskin","550101","55",1,1,2018,3,10,"21:36:00",69.9,25.3522,-81.1995,3.3,1,"1",-999,-999,20.54,-999,34.079,-999,9,7.1,221.9,2253.9,2,2512.8,2,8.0212,7.9462,2,15.74,0.039,1.64,0.146,2,-81.1995,25.3522,-81.1995,25.3522,2.37362217903137,1572,"SR","Shark River",NA
"33H620180308","SAV1803","Niskin","540101","54",1,1,2018,3,10,"22:50:00",69.9514,25.3428,-81.15,3.5,1,"1",-999,-999,20.28,-999,32.113,-999,9,7.09,221.6,2623.6,2,2847.8,2,7.9148,7.8411,2,28.47,0.044,1.89,0.14,2,-81.15,25.3428,-81.15,25.3428,2.5547730922699,795,"SR","Shark River",NA
"33H620180308","SAV1803","Niskin","570101","57",1,1,2018,3,11,"0:15:00",70.0104,25.3532,-81.2656,5.2,1,"1",-999,-999,21.19,-999,35.79,-999,9,6.93,216.6,2075.9,2,2327.5,2,8.0113,7.9366,2,16.63,0.034,2.37,0.122,2,-81.2656,25.3532,-81.2656,25.3532,3.75466084480286,2255,"SR","Shark River",NA
"33H620180308","SAV1803","Niskin","5710101","57.1",1,1,2018,3,11,"1:03:00",70.0438,25.3525,-81.3312,6.6,1,"1",-999,-999,21.62,-999,35.85,-999,9,6.89,215.3,2047.4,2,2284.5,2,7.9865,7.912,2,2.45,0.049,1.47,0.148,2,-81.3312,25.3525,-81.3312,25.3525,5.5090446472168,2278,"SR","Shark River",NA
"33H620180308","SAV1803","Niskin","5720102","57.2",1,2,2018,3,11,"2:25:00",70.1007,25.3518,-81.4911,9.4,1,"1",-999,-999,22.15,-999,35.91,-999,9,6.7,209.4,2096.2,2,2352.2,2,8.0135,7.9387,2,0.05,0.051,3.37,2.63,2,-81.4911,25.3518,-81.4911,25.3518,8.36661815643311,2945,"SR","Shark River",NA
"33H620180308","SAV1803","Niskin","5730102","57.3",1,2,2018,3,11,"3:40:00",70.1528,25.3532,-81.6503,11.8,1,"1",-999,-999,22.35,-999,36.01,-999,9,6.72,210,2124.7,2,2388.5,2,8.0312,7.9562,2,1.1,0,2,0.125,2,-81.6503,25.3532,-81.6503,25.3532,11.2790632247925,4575,"SR","Shark River",NA
"33WA20170327","WS17086","Niskin","5720101","57.2",1,1,2017,3,29,"15:28:00",88.6444,25.3516,-81.4903,-999,1.5,"-999",23.66,23.89,23.55,35.199,35.199,-999,9,7.12,222.5,2154.4,2,2448,2,8.0688,7.9934,2,1,0,0.02,0.08,2,-81.4903,25.3516,-81.4903,25.3516,8.36661815643311,2945,"SR","Shark River",NA
"33WA20170327","WS17086","Niskin","5710101","57.1",1,1,2017,3,29,"16:00:00",88.6667,25.3514,-81.4193,-999,1.5,"-999",23.67,23.98,23.89,35.157,35.075,-999,9,7.05,220.3,2168.6,2,2465.1,2,8.0825,8.0069,2,6.1,0.01,0,0.02,2,-81.4193,25.3514,-81.4193,25.3514,7.20255088806152,2890,"SR","Shark River",NA
"33WA20170327","WS17086","Niskin","570101","57",1,1,2017,3,29,"17:05:00",88.7118,25.3516,-81.2648,-999,1.5,"-999",24.09,24.4,24.16,34.894,35.213,-999,9,7.11,222.2,2186.2,2,2461.9,2,8.0502,7.975,2,9.7,0,0,0.02,2,-81.2648,25.3516,-81.2648,25.3516,3.75466084480286,2255,"SR","Shark River",NA
"33WA20170327","WS17086","Niskin","560101","56",1,1,2017,3,29,"17:29:00",88.7285,25.35,-81.2257,-999,1.5,"-999",24.3,24.6,24.27,34.975,35.279,-999,9,7,218.8,2200.3,2,2464.3,2,8.0261,7.9511,2,10.7,0,0.1,0.02,2,-81.2257,25.35,-81.2257,25.35,3.02198529243469,2337,"SR","Shark River",NA
"33WA20170327","WS17086","Niskin","550101","55",1,1,2017,3,29,"17:50:00",88.7431,25.35,-81.1935,-999,1.5,"-999",24.32,24.61,24.34,35.058,35.39,-999,9,6.87,214.7,2212.4,2,2465.5,2,8.002,7.9272,2,17.4,0.02,0.04,0.04,2,-81.1935,25.35,-81.1935,25.35,2.37362217903137,1572,"SR","Shark River",NA
"33WA20170327","WS17086","Niskin","540101","54",1,1,2017,3,29,"18:25:00",88.7674,25.3455,-81.1526,-999,1.5,"-999",24.69,25.01,24.68,35.744,36.04,-999,9,6.9,215.6,2290.1,2,2564.2,2,8.0026,7.9277,2,45.2,0.01,0,0.02,2,-81.1526,25.3455,-81.1526,25.3455,2.07799696922302,1055,"SR","Shark River",NA
"33WA20171009","WS17282","Niskin","5730101","57.3",1,1,2017,10,11,"20:08:00",284.8389,25.3518,-81.6516,10.6,1.5,"-999",28.96,29.26,29.28,34.775,34.767,-999,9,6.01,187.8,1942,2,2277.2,2,8.1841,8.1078,2,5.63,1.82,0.07,0.237,2,-81.6516,25.3518,-81.6516,25.3518,11.2790632247925,4575,"SR","Shark River",NA
"33WA20171009","WS17282","Niskin","5720101","57.2",1,1,2017,10,11,"21:34:00",284.8986,25.3494,-81.4908,8.3,1.5,"-999",29.02,29.32,29.32,34.306,34.314,-999,9,6.39,199.7,1886.3,2,2202.9,2,8.1644,8.0884,2,1.95,0.48,0.19,0.161,2,-81.4908,25.3494,-81.4908,25.3494,8.36661815643311,2945,"SR","Shark River",NA
"33WA20171009","WS17282","Niskin","5710101","57.1",1,1,2017,10,11,"23:02:00",284.9597,25.351,-81.3361,5.6,1.5,"-999",28.93,29.24,29.29,32.357,32.339,-999,9,6.51,203.4,1921.9,2,2249,2,8.1871,8.1108,2,7.02,0,0.93,0.127,2,-81.3361,25.351,-81.3361,25.351,5.5090446472168,2278,"SR","Shark River",NA
"33WA20171009","WS17282","Niskin","570101","57",1,1,2017,10,11,"23:52:00",284.9944,25.351,-81.2653,4.1,1.5,"-999",28.94,29.23,29.23,28.66,28.578,-999,9,7.07,220.9,2192.6,2,2517.7,2,8.2023,8.1256,2,12.25,0,0.78,0.118,2,-81.2653,25.351,-81.2653,25.351,3.75466084480286,2255,"SR","Shark River",NA
"33WA20171009","WS17282","Niskin","560101","56",1,1,2017,10,12,"0:28:00",285.0194,25.3487,-81.2293,3.3,1.5,"-999",28.82,29.12,29.11,27.905,27.775,-999,9,7.21,225.3,2304.9,2,2591.5,2,8.1132,8.0374,2,19.84,0,0.84,0.133,2,-81.2293,25.3487,-81.2293,25.3487,3.02198529243469,2337,"SR","Shark River",NA
"33WA20171009","WS17282","Niskin","550101","55",1,1,2017,10,12,"1:04:00",285.0444,25.3505,-81.1939,3,1.5,"-999",28.82,29.19,29.19,27.203,27.212,-999,9,5.67,177.2,2361.5,2,2637.5,2,8.114,8.0381,2,21.44,0,0.83,0.139,2,-81.1939,25.3505,-81.1939,25.3505,2.37362217903137,1572,"SR","Shark River",NA
"33WA20171009","WS17282","Niskin","540101","54",1,1,2017,10,12,"2:08:00",285.0889,25.344,-81.1534,3,1.5,"-999",29.35,29.36,29.64,18.647,18.762,-999,9,6.53,204.1,2604.2,4,2222.6,3,7.9964,7.9227,3,16.94,0,0.6,0.139,2,-81.1534,25.344,-81.1534,25.344,2.24022269248962,945,"SR","Shark River",NA
"33WA20180108","WS18008","Niskin","5730101","57.3",1,1,2018,1,10,"14:54:00",10.6208,25.3494,-81.6527,11,1.5,"-999",18.93,19.25,18.92,35.337,35.35,-999,9,7.14,223.1,2107.2,2,2384.1,2,8.0564,7.9812,2,1.06,0.25,0.72,0.099,2,-81.6527,25.3494,-81.6527,25.3494,11.2790632247925,4575,"SR","Shark River",NA
"33WA20180108","WS18008","Niskin","5720101","57.2",1,1,2018,1,10,"16:48:00",10.7,25.3506,-81.4891,8.3,1.5,"-999",18.35,18.67,18.38,35.085,35.11,-999,9,7.41,231.6,2127.2,2,2382.5,2,8.0271,7.9522,2,0.79,0.036,0.76,0.065,2,-81.4891,25.3506,-81.4891,25.3506,8.36661815643311,2945,"SR","Shark River",NA
"33WA20180108","WS18008","Niskin","5710101","57.1",1,1,2018,1,10,"18:27:00",10.7688,25.3505,-81.3351,5,1.5,"-999",18.68,19.04,17.68,31.948,34.62,-999,9,7.65,239.1,2154.9,2,2389.6,3,7.9921,7.9175,2,6.03,0.068,0.83,0.057,2,-81.3351,25.3505,-81.3351,25.3505,5.5090446472168,2278,"SR","Shark River",NA
"33WA20180108","WS18008","Niskin","570101","57",1,1,2018,1,10,"19:26:00",10.8097,25.3505,-81.2641,3.5,1.5,"-999",18.82,19.25,17.81,28.994,31.65,-999,9,8.23,257.2,2302.8,2,2542.9,2,7.9965,7.9219,2,12.08,0.037,1.22,0.056,2,-81.2641,25.3505,-81.2641,25.3505,3.75466084480286,2255,"SR","Shark River",NA
"33WA20180108","WS18008","Niskin","560101","56",1,1,2018,1,10,"20:13:00",10.8424,25.3518,-81.2292,3.1,1.5,"-999",19.24,19.68,17.13,29.531,32.44,-999,9,7.88,246.3,2246.5,2,2472.3,2,7.9857,7.9112,2,12.09,0,1.21,0.034,2,-81.2292,25.3518,-81.2292,25.3518,3.02198529243469,2337,"SR","Shark River",NA
"33WA20180108","WS18008","Niskin","550101","55",1,1,2018,1,10,"20:47:00",10.866,25.3495,-81.1945,2,1.5,"-999",19.2,19.69,17.19,29.723,32.47,-999,9,7.06,220.6,2353.2,2,2584.2,2,7.9709,7.8966,2,17.6,0.33,0.96,0.049,2,-81.1945,25.3495,-81.1945,25.3495,2.37362217903137,1572,"SR","Shark River",NA
"33WA20180108","WS18008","Niskin","540101","54",1,1,2018,1,10,"22:00:00",10.9167,25.3407,-81.1563,4.2,1.5,"-999",17.75,18.13,17.23,29.872,30.93,-999,9,7.46,233.1,2433.5,2,2651.8,2,7.9363,7.8624,2,18.58,0.009,1.23,0.027,2,-81.1563,25.3407,-81.1563,25.3407,2.24022269248962,945,"SR","Shark River",NA
"33WA20180430","WS18120","Niskin","540101","54",1,1,2018,5,2,"21:54:00",122.9125,25.3409,-81.1543,2,1.5,"-999",26.24,26.54,26.69,32.779,32.773,-999,9,7.14,223.1,3447,2,3733.8,2,7.918,7.8438,2,42.99,0.054,0.3,0.098,2,-81.1543,25.3409,-81.1543,25.3409,2.46039080619812,811,"SR","Shark River",NA
